# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 1.000934985
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]	[D_ell^TT]	[D_ell^TE]	[D_ell^EE]
1.100000000000000000e+02 2.785985217880253913e+03 -2.702164177310201865e+01 8.275459676958202282e-01
1.110000000000000000e+02 2.817103634204971513e+03 -2.760615522981740710e+01 8.390743876595880835e-01
1.120000000000000000e+02 2.848368832180661684e+03 -2.818603275756908388e+01 8.503364414055998299e-01
1.130000000000000000e+02 2.879773615964501914e+03 -2.876075357900122853e+01 8.613199336998169642e-01
1.140000000000000000e+02 2.911309825816724242e+03 -2.932979219434353624e+01 8.720127087874686156e-01
1.150000000000000000e+02 2.942968308761048320e+03 -2.989261853612168096e+01 8.824026569800197395e-01
1.160000000000000000e+02 2.974740181839062643e+03 -3.044870419342788992e+01 8.924780716040773276e-01
1.170000000000000000e+02 3.006620858841319205e+03 -3.099754161249281381e+01 9.022287549999542522e-01
1.180000000000000000e+02 3.038606460334313397e+03 -3.153862753193093837e+01 9.116450599869626581e-01
1.190000000000000000e+02 3.070692547156517321e+03 -3.207145732816798045e+01 9.207175611128060044e-01
1.200000000000000000e+02 3.102874102507576481e+03 -3.259552522381677164e+01 9.294370643383547126e-01
1.210000000000000000e+02 3.135145514037526482e+03 -3.311032449605303185e+01 9.377946167224202600e-01
1.220000000000000000e+02 3.167500555935996999e+03 -3.361534768499122094e+01 9.457815161065319387e-01
1.230000000000000000e+02 3.199932371021414383e+03 -3.411008680206034427e+01 9.533893207997093944e-01
1.240000000000000000e+02 3.232433452830217448e+03 -3.459403353837981143e+01 9.606098592632399402e-01
1.250000000000000000e+02 3.264995627706055529e+03 -3.506667947313518852e+01 9.674352397954520955e-01
1.260000000000000000e+02 3.297610036888996547e+03 -3.552751628195402134e+01 9.738578602164896791e-01
1.270000000000000000e+02 3.330267118604741881e+03 -3.597603594528177950e+01 9.798704175530901228e-01
1.280000000000000000e+02 3.362956590153824436e+03 -3.641173095675748783e+01 9.854659177233558998e-01
1.290000000000000000e+02 3.395668454245324938e+03 -3.683410054552999924e+01 9.906379836801908478e-01
1.300000000000000000e+02 3.428396180857674608e+03 -3.724266967236962955e+01 9.953817974901826293e-01
1.310000000000000000e+02 3.461133842209086197e+03 -3.763697252093969325e+01 9.996932803851706906e-01
1.320000000000000000e+02 3.493875109324435016e+03 -3.801654691959262067e+01 1.003568815271770998e+00
1.330000000000000000e+02 3.526613241453590035e+03 -3.838093459277936859e+01 1.007005258551813220e+00
1.340000000000000000e+02 3.559341075489741343e+03 -3.872968141245883800e+01 1.009999951942777363e+00
1.350000000000000000e+02 3.592051015387718508e+03 -3.906233764950715681e+01 1.012550734298226951e+00
